UrlOPC;Description;Mode;Outgoing Address;Format;Scale;Offset
GAR_CF_DNP_1.EAF.SA0LT_03SMH_M.Value;GAR_CF_DNP_1.EAF.SA0LT_03SMH_M;Write;GAR_CF_DNP_1.EAF.SA0LT_03SMH_M.Value;Float;1;0
GAR_CF_DNP_1.EAF.EA42.Value;GAR_CF_DNP_1.EAF.EA42;Write;GAR_CF_DNP_1.EAF.EA42.Value;Float;1;0
GAR_CF_DNP_1.EAF.EA43.Value;GAR_CF_DNP_1.EAF.EA43;Write;GAR_CF_DNP_1.EAF.EA43.Value;Float;1;0
GAR_CF_DNP_1.EAF.EA44.Value;GAR_CF_DNP_1.EAF.EA44;Write;GAR_CF_DNP_1.EAF.EA44.Value;Float;1;0
GAR_CF_DNP_1.EAF.EA45.Value;GAR_CF_DNP_1.EAF.EA45;Write;GAR_CF_DNP_1.EAF.EA45.Value;Float;1;0
GAR_CF_DNP_1.EAF.EA46.Value;GAR_CF_DNP_1.EAF.EA46;Write;GAR_CF_DNP_1.EAF.EA46.Value;Float;1;0
GAR_CF_DNP_1.EAF.EA47.Value;GAR_CF_DNP_1.EAF.EA47;Write;GAR_CF_DNP_1.EAF.EA47.Value;Float;1;0
GAR_CF_DNP_1.EAF.EA48.Value;GAR_CF_DNP_1.EAF.EA48;Write;GAR_CF_DNP_1.EAF.EA48.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_71ET_04ECA_W.Value;GAR_CF_DNP_1.EAM.C_71ET_04ECA_W;Write;GAR_CF_DNP_1.EAM.C_71ET_04ECA_W.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_71ET_04ECA_VAR.Value;GAR_CF_DNP_1.EAM.C_71ET_04ECA_VAR;Write;GAR_CF_DNP_1.EAM.C_71ET_04ECA_VAR.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_71ET_04ECA_V.Value;GAR_CF_DNP_1.EAM.C_71ET_04ECA_V;Write;GAR_CF_DNP_1.EAM.C_71ET_04ECA_V.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_71ET_04ECA_A.Value;GAR_CF_DNP_1.EAM.C_71ET_04ECA_A;Write;GAR_CF_DNP_1.EAM.C_71ET_04ECA_A.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_71ET_04ECA_B.Value;GAR_CF_DNP_1.EAM.C_71ET_04ECA_B;Write;GAR_CF_DNP_1.EAM.C_71ET_04ECA_B.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_71ET_04ECA_C.Value;GAR_CF_DNP_1.EAM.C_71ET_04ECA_C;Write;GAR_CF_DNP_1.EAM.C_71ET_04ECA_C.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_71ET_04ECA_HZ.Value;GAR_CF_DNP_1.EAM.C_71ET_04ECA_HZ;Write;GAR_CF_DNP_1.EAM.C_71ET_04ECA_HZ.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_71ET_01ECA_W.Value;GAR_CF_DNP_1.EAM.C_71ET_01ECA_W;Write;GAR_CF_DNP_1.EAM.C_71ET_01ECA_W.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_71ET_01ECA_VAR.Value;GAR_CF_DNP_1.EAM.C_71ET_01ECA_VAR;Write;GAR_CF_DNP_1.EAM.C_71ET_01ECA_VAR.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_71ET_01ECA_V.Value;GAR_CF_DNP_1.EAM.C_71ET_01ECA_V;Write;GAR_CF_DNP_1.EAM.C_71ET_01ECA_V.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_71ET_01ECA_A.Value;GAR_CF_DNP_1.EAM.C_71ET_01ECA_A;Write;GAR_CF_DNP_1.EAM.C_71ET_01ECA_A.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_71ET_01ECA_B.Value;GAR_CF_DNP_1.EAM.C_71ET_01ECA_B;Write;GAR_CF_DNP_1.EAM.C_71ET_01ECA_B.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_71ET_01ECA_C.Value;GAR_CF_DNP_1.EAM.C_71ET_01ECA_C;Write;GAR_CF_DNP_1.EAM.C_71ET_01ECA_C.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_71ET_01ECA_HZ.Value;GAR_CF_DNP_1.EAM.C_71ET_01ECA_HZ;Write;GAR_CF_DNP_1.EAM.C_71ET_01ECA_HZ.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_72ET_02ECA_W.Value;GAR_CF_DNP_1.EAM.C_72ET_02ECA_W;Write;GAR_CF_DNP_1.EAM.C_72ET_02ECA_W.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_72ET_02ECA_VAR.Value;GAR_CF_DNP_1.EAM.C_72ET_02ECA_VAR;Write;GAR_CF_DNP_1.EAM.C_72ET_02ECA_VAR.Value;Float;1;0
GAR_CF_DNP_1.EAM.C_72ET_02ECA_V.Value;GAR_CF_DNP_1.EAM.C_72ET_02ECA_V;Write;GAR_CF_DNP_1.EAM.C_72ET_02ECA_V.Value;Float;1;0
